OpenRouter Models with Structured Outputs Support
====================================================================================================

Total models found: 265

Model ID                                                     Input ($/1M)    Output ($/1M)   Context   
----------------------------------------------------------------------------------------------------
ai21/jamba-large-1.7                                         $2.00           $8.00           256000    
ai21/jamba-mini-1.7                                          $0.20           $0.40           256000    
alibaba/tongyi-deepresearch-30b-a3b                          $0.09           $0.40           131072    
alibaba/tongyi-deepresearch-30b-a3b:free                     $0.00           $0.00           131072    
allenai/olmo-3-32b-think:free                                $0.00           $0.00           65536     
allenai/olmo-3-7b-instruct                                   $0.10           $0.20           65536     
allenai/olmo-3-7b-think                                      $0.12           $0.20           65536     
allenai/olmo-3.1-32b-think:free                              $0.00           $0.00           65536     
alpindale/goliath-120b                                       $6.00           $8.00           6144      
anthracite-org/magnum-v4-72b                                 $3.00           $5.00           16384     
anthropic/claude-opus-4.1                                    $15.00          $75.00          200000    
anthropic/claude-opus-4.5                                    $5.00           $25.00          200000    
anthropic/claude-sonnet-4.5                                  $3.00           $15.00          1000000   
arcee-ai/trinity-mini                                        $0.04           $0.15           131072    
arcee-ai/trinity-mini:free                                   $0.00           $0.00           131072    
arliai/qwq-32b-arliai-rpr-v1                                 $0.03           $0.11           32768     
baidu/ernie-4.5-300b-a47b                                    $0.22           $0.88           123000    
cognitivecomputations/dolphin-mistral-24b-venice-edition:free $0.00           $0.00           32768     
cohere/command-a                                             $2.50           $10.00          256000    
cohere/command-r-08-2024                                     $0.15           $0.60           128000    
cohere/command-r-plus-08-2024                                $2.50           $10.00          128000    
cohere/command-r7b-12-2024                                   $0.04           $0.15           128000    
deepcogito/cogito-v2-preview-llama-405b                      $3.50           $3.50           32768     
deepcogito/cogito-v2-preview-llama-70b                       $0.88           $0.88           32768     
deepcogito/cogito-v2.1-671b                                  $1.25           $1.25           128000    
deepseek/deepseek-chat                                       $0.30           $1.20           163840    
deepseek/deepseek-chat-v3-0324                               $0.20           $0.88           163840    
deepseek/deepseek-chat-v3.1                                  $0.15           $0.75           8192      
deepseek/deepseek-prover-v2                                  $0.50           $2.18           163840    
deepseek/deepseek-r1                                         $0.30           $1.20           163840    
deepseek/deepseek-r1-0528                                    $0.40           $1.75           163840    
deepseek/deepseek-r1-0528-qwen3-8b                           $0.02           $0.10           32768     
deepseek/deepseek-r1-distill-llama-70b                       $0.03           $0.11           131072    
deepseek/deepseek-r1-distill-qwen-14b                        $0.12           $0.12           32768     
deepseek/deepseek-r1-distill-qwen-32b                        $0.24           $0.24           64000     
deepseek/deepseek-v3.1-terminus                              $0.21           $0.79           163840    
deepseek/deepseek-v3.1-terminus:exacto                       $0.21           $0.79           163840    
deepseek/deepseek-v3.2                                       $0.26           $0.38           163840    
deepseek/deepseek-v3.2-exp                                   $0.21           $0.32           163840    
deepseek/deepseek-v3.2-speciale                              $0.27           $0.41           163840    
essentialai/rnj-1-instruct                                   $0.15           $0.15           32768     
google/gemini-2.0-flash-001                                  $0.10           $0.40           1048576   
google/gemini-2.0-flash-exp:free                             $0.00           $0.00           1048576   
google/gemini-2.0-flash-lite-001                             $0.07           $0.30           1048576   
google/gemini-2.5-flash                                      $0.30           $2.50           1048576   
google/gemini-2.5-flash-image                                $0.30           $2.50           32768     
google/gemini-2.5-flash-image-preview                        $0.30           $2.50           32768     
google/gemini-2.5-flash-lite                                 $0.10           $0.40           1048576   
google/gemini-2.5-flash-lite-preview-09-2025                 $0.10           $0.40           1048576   
google/gemini-2.5-flash-preview-09-2025                      $0.30           $2.50           1048576   
google/gemini-2.5-pro                                        $1.25           $10.00          1048576   
google/gemini-2.5-pro-preview                                $1.25           $10.00          1048576   
google/gemini-2.5-pro-preview-05-06                          $1.25           $10.00          1048576   
google/gemini-3-flash-preview                                $0.50           $3.00           1048576   
google/gemini-3-pro-image-preview                            $2.00           $12.00          65536     
google/gemini-3-pro-preview                                  $2.00           $12.00          1048576   
google/gemma-2-27b-it                                        $0.65           $0.65           8192      
google/gemma-3-12b-it                                        $0.03           $0.10           131072    
google/gemma-3-27b-it                                        $0.04           $0.15           96000     
google/gemma-3-27b-it:free                                   $0.00           $0.00           131072    
google/gemma-3-4b-it                                         $0.02           $0.07           96000     
google/gemma-3-4b-it:free                                    $0.00           $0.00           32768     
google/gemma-3n-e2b-it:free                                  $0.00           $0.00           8192      
google/gemma-3n-e4b-it:free                                  $0.00           $0.00           8192      
gryphe/mythomax-l2-13b                                       $0.06           $0.06           4096      
inception/mercury                                            $0.25           $1.00           128000    
inception/mercury-coder                                      $0.25           $1.00           128000    
kwaipilot/kat-coder-pro:free                                 $0.00           $0.00           256000    
mancer/weaver                                                $0.75           $1.00           8000      
meta-llama/llama-3-70b-instruct                              $0.30           $0.40           8192      
meta-llama/llama-3-8b-instruct                               $0.03           $0.06           8192      
meta-llama/llama-3.1-405b-instruct                           $3.50           $3.50           130815    
meta-llama/llama-3.1-70b-instruct                            $0.40           $0.40           131072    
meta-llama/llama-3.1-8b-instruct                             $0.02           $0.03           131072    
meta-llama/llama-3.2-11b-vision-instruct                     $0.05           $0.05           131072    
meta-llama/llama-3.2-3b-instruct                             $0.02           $0.02           131072    
meta-llama/llama-3.2-90b-vision-instruct                     $0.35           $0.40           32768     
meta-llama/llama-3.3-70b-instruct                            $0.10           $0.32           131072    
meta-llama/llama-4-maverick                                  $0.15           $0.60           1048576   
meta-llama/llama-4-scout                                     $0.08           $0.30           327680    
meta-llama/llama-guard-3-8b                                  $0.02           $0.06           131072    
meta-llama/llama-guard-4-12b                                 $0.18           $0.18           163840    
microsoft/phi-4                                              $0.06           $0.14           16384     
microsoft/phi-4-multimodal-instruct                          $0.05           $0.10           131072    
microsoft/phi-4-reasoning-plus                               $0.07           $0.35           32768     
microsoft/wizardlm-2-8x22b                                   $0.48           $0.48           65536     
minimax/minimax-m2                                           $0.20           $1.00           196608    
minimax/minimax-m2.1                                         $0.30           $1.20           204800    
mistralai/codestral-2508                                     $0.30           $0.90           256000    
mistralai/devstral-2512                                      $0.05           $0.22           262144    
mistralai/devstral-2512:free                                 $0.00           $0.00           262144    
